조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20220101,서울서부,녹두,143,500G,10600,0
20220101,서울,녹두,143,500G,17500,0
20220101,서울,당근,232,1KG,4290,0
20220101,서울서부,고구마(밤),151,1,5750,0
20220101,서울서부,고구마(밤),151,1,5330,0
20220101,서울,고구마(밤),151,1,4660,0
20220101,서울,고구마(밤),151,1,5950,0
20220101,서울,고구마(밤),151,1,5980,0
20220101,서울,고구마(밤),151,1,4600,0
20220101,서울,고구마(밤),151,1,6270,0
20220101,서울서부,당근,232,1KG,2330,0
20220101,서울서부,당근,232,1KG,2500,0
20220101,서울,열무,233,1KG,3990,0
20220101,서울,열무,233,1KG,6150,0
20220101,서울,열무,233,1KG,1820,0
20220101,서울,열무,233,1KG,3990,0
20220101,서울서부,딸기,226,100G,2260,0
20220101,서울서부,상추,214,100G,1080,0
20220101,서울서부,상추,214,100G,910,0
20220101,서울,상추,214,100G,1060,0
20220101,서울,상추,214,100G,1430,0
20220101,서울,상추,214,100G,890,0
20220101,서울,상추,214,100G,1050,0
20220101,서울,상추,214,100G,1060,0
20220101,서울서부,고구마(밤),151,1,5000,0
20220101,서울서부,고구마(밤),151,1,4330,0
20220101,서울서부,감자,152,100G,300,0
20220101,서울서부,감자,152,100G,300,0
20220101,서울,감자,152,100G,799,0
20220101,서울,감자,152,100G,450,0
20220101,서울,감자,152,100G,350,0
20220101,서울,감자,152,100G,799,0
20220101,서울,건고추,241,600G,11980,0
20220101,서울서부,건고추,241,600G,18000,0
20220101,서울서부,건고추,241,600G,19300,0
20220101,서울서부,쌀,111,20KG,56500,0
20220101,서울서부,쌀,111,20KG,58500,0
20220101,서울,쌀,111,20KG,54900,0
20220101,서울,쌀,111,20KG,49900,0
20220101,서울,쌀,111,20KG,53900,0
20220101,서울,쌀,111,20KG,53500,0
20220101,서울,쌀,111,20KG,54900,0
20220101,서울서부,무,231,1,2000,0
20220101,서울서부,무,231,1,2000,0
20220101,서울,무,231,1,1590,0
20220101,서울,무,231,1,1650,0
20220101,서울,무,231,1,1240,0
20220101,서울,무,231,1,1590,0
20220101,서울서부,상추,214,100G,830,0
20220101,서울서부,상추,214,100G,670,0
20220101,서울서부,상추,214,100G,1080,0
20220101,서울서부,상추,214,100G,910,0
20220101,서울,상추,214,100G,1060,0
20220101,서울,상추,214,100G,1560,0
20220101,서울,상추,214,100G,1050,0
20220101,서울,상추,214,100G,1060,0
20220101,서울서부,무,231,1,1500,0
20220101,서울서부,무,231,1,1500,0
20220101,서울서부,미나리,252,1KG,930,0
20220101,서울서부,미나리,252,1KG,900,0
20220101,서울,미나리,252,1KG,1130,0
20220101,서울서부,깻잎,253,100G,2160,0
20220101,서울서부,깻잎,253,100G,2000,0
20220101,서울,깻잎,253,100G,3560,0
20220101,서울,깻잎,253,100G,2410,0
20220101,서울,깻잎,253,100G,2200,0
20220101,서울,깻잎,253,100G,2880,0
20220101,서울,깻잎,253,100G,3560,0
20220101,서울서부,감자,152,100G,250,0
20220101,서울서부,감자,152,100G,250,0
20220101,서울서부,호박,224,1,1900,0
20220101,서울서부,호박,224,1,1600,0
20220101,서울,무,231,1,1890,0
20220101,서울서부,당근,232,1KG,2830,0
20220101,서울서부,당근,232,1KG,3000,0
20220101,서울,당근,232,1KG,4290,0
20220101,서울,당근,232,1KG,2800,0
20220101,서울,당근,232,1KG,2980,0
20220101,서울,당근,232,1KG,2300,0
20220101,서울서부,상추,214,100G,830,0
20220101,서울서부,상추,214,100G,670,0
20220101,서울,얼갈이배추,215,1KG,3490,0
20220101,서울,얼갈이배추,215,1KG,4780,0
20220101,서울,얼갈이배추,215,1KG,1860,0
20220101,서울,얼갈이배추,215,1KG,3490,0
20220101,서울,사과,411,10,17450,0
20220101,서울,사과,411,10,15960,0
20220101,서울,사과,411,10,19980,0
20220101,서울서부,쇠고기,512,100G,4500,0
20220101,서울,쇠고기,512,100G,4975,0
20220101,서울,쇠고기,512,100G,7180,0
20220101,서울서부,단감,416,10,12500,0
20220101,서울서부,단감,416,10,13100,0
20220101,서울,단감,416,10,17980,0
20220101,서울,단감,416,10,13960,0
20220101,서울서부,단감,416,10,8220,0
20220101,서울,단감,416,10,12900,0
20220101,서울,단감,416,10,9870,0
20220101,서울서부,쇠고기,512,100G,2000,0
20220101,서울,쇠고기,512,100G,3500,0
20220101,서울,우유,535,1L,2710,0
20220101,서울,우유,535,1L,2710,0
20220101,서울,우유,535,1L,2710,0
