조사일,조사지역명,조사지역코드,품목명,품목코드,규격,조사가격,전일조사가격
20130101,서울서부,1102,열무,233,1.5KG,2500,0
20130101,서울서부,1102,열무,233,1.5KG,3000,0
20130101,서울서부,1102,얼갈이배추,215,1.5KG,2000,0
20130101,서울서부,1102,얼갈이배추,215,1.5KG,2500,0
20130101,서울서부,1102,물오징어,619,1KG,4000,0
20130101,서울서부,1102,명태,615,1KG,1500,0
20130101,서울서부,1102,갈치,613,1KG,19000,0
20130101,서울서부,1102,고등어,611,1KG,3700,0
20130101,서울서부,1102,방울토마토,422,5KG,33000,0
20130101,서울서부,1102,감귤,415,10KG,13000,0
20130101,서울서부,1102,단감,416,15KG,35000,0
20130101,서울서부,1102,단감,416,15KG,30000,0
20130101,서울서부,1102,바나나,418,1KG,1500,0
20130101,서울서부,1102,바나나,418,1KG,1400,0
20130101,서울서부,1102,참다래,419,10KG,32000,0
20130101,서울서부,1102,참다래,419,10KG,25000,0
20130101,서울서부,1102,참다래,419,10KG,42000,0
20130101,서울서부,1102,참다래,419,10KG,39000,0
20130101,서울서부,1102,팽이버섯,316,5KG,11000,0
20130101,서울서부,1102,팽이버섯,316,5KG,10000,0
20130101,서울서부,1102,사과,411,15KG,70000,0
20130101,서울서부,1102,사과,411,15KG,60000,0
20130101,서울서부,1102,배,412,15KG,65000,0
20130101,서울서부,1102,배,412,15KG,55000,0
20130101,서울서부,1102,포도,414,8KG,45000,0
20130101,서울서부,1102,포도,414,8KG,38000,0
20130101,서울서부,1102,감귤,415,10KG,15000,0
20130101,서울서부,1102,파,246,1KG,2300,0
20130101,서울서부,1102,파,246,1KG,1800,0
20130101,서울서부,1102,파,246,1KG,6500,0
20130101,서울서부,1102,파,246,1KG,6000,0
20130101,서울서부,1102,생강,247,20KG,97000,0
20130101,서울서부,1102,생강,247,20KG,90000,0
20130101,서울서부,1102,생강,247,20KG,2800,0
20130101,서울서부,1102,미나리,252,20KG,70000,0
20130101,서울서부,1102,미나리,252,20KG,65000,0
20130101,서울서부,1102,깻잎,253,2KG,32000,0
20130101,서울서부,1102,깻잎,253,2KG,29000,0
20130101,서울서부,1102,피망(청),255,10KG,72000,0
20130101,서울서부,1102,피망(청),255,10KG,65000,0
20130101,서울서부,1102,느타리버섯,315,2KG,14000,0
20130101,서울서부,1102,느타리버섯,315,2KG,12000,0
20130101,서울서부,1102,호박,224,10KG,22000,0
20130101,서울서부,1102,토마토,225,10KG,29000,0
20130101,서울서부,1102,토마토,225,10KG,24000,0
20130101,서울서부,1102,무,231,1KG,800,0
20130101,서울서부,1102,무,231,1KG,700,0
20130101,서울서부,1102,당근,232,20KG,85000,0
20130101,서울서부,1102,당근,232,20KG,80000,0
20130101,서울서부,1102,건고추,241,60KG,950000,0
20130101,서울서부,1102,건고추,241,60KG,850000,0
20130101,서울서부,1102,양배추,212,10KG,18000,0
20130101,서울서부,1102,양배추,212,10KG,16000,0
20130101,서울서부,1102,시금치,213,4KG,15000,0
20130101,서울서부,1102,시금치,213,4KG,12000,0
20130101,서울서부,1102,상추,214,4KG,28000,0
20130101,서울서부,1102,상추,214,4KG,25000,0
20130101,서울서부,1102,상추,214,4KG,25000,0
20130101,서울서부,1102,상추,214,4KG,22000,0
20130101,서울서부,1102,수박,221,1개,16000,0
20130101,서울서부,1102,고구마,151,10KG,24000,0
20130101,서울서부,1102,고구마,151,10KG,19000,0
20130101,서울서부,1102,감자,152,20KG,28000,0
20130101,서울서부,1102,감자,152,20KG,23000,0
20130101,서울서부,1102,배추,211,1KG,1300,0
20130101,서울서부,1102,배추,211,1KG,1200,0
20130101,서울서부,1102,수박,221,1개,14000,0
20130101,서울서부,1102,오이,223,15KG,50000,0
20130101,서울서부,1102,오이,223,15KG,45000,0
20130101,서울서부,1102,오이,223,20KG,66000,0
20130101,서울서부,1102,오이,223,20KG,56000,0
20130101,서울서부,1102,호박,224,8KG,28000,0
20130101,서울서부,1102,호박,224,8KG,25000,0
20130101,서울서부,1102,호박,224,10KG,24000,0
20130101,서울서부,1102,건고추,241,60KG,1200000,0
20130101,서울서부,1102,건고추,241,60KG,1100000,0
20130101,서울서부,1102,풋고추,242,10KG,80000,0
20130101,서울서부,1102,풋고추,242,10KG,75000,0
20130101,서울서부,1102,풋고추,242,4KG,37000,0
20130101,서울서부,1102,풋고추,242,4KG,33000,0
20130101,서울서부,1102,풋고추,242,10KG,90000,0
20130101,서울서부,1102,풋고추,242,10KG,82000,0
20130101,서울서부,1102,붉은고추,243,10KG,75000,0
20130101,서울서부,1102,붉은고추,243,10KG,60000,0
20130101,서울서부,1102,마늘,244,20KG,100000,0
20130101,서울서부,1102,마늘,244,20KG,80000,0
20130101,서울서부,1102,마늘,244,20KG,80000,0
20130101,서울서부,1102,마늘,244,20KG,70000,0
20130101,서울서부,1102,양파,245,1KG,1400,0
20130101,서울서부,1102,양파,245,1KG,1300,0
20130101,서울서부,1102,방울토마토,422,5KG,28000,0
20130101,서울서부,1102,고등어,611,1KG,3200,0
20130101,서울서부,1102,갈치,613,1KG,11000,0
20130101,서울서부,1102,물오징어,619,1KG,4800,0
20130101,서울서부,1102,건멸치,638,2KG,16000,0
20130101,서울서부,1102,열무,233,1.5KG,2500,0
20130101,서울서부,1102,쇠고기,512,100G,1240,0
20130101,서울서부,1102,쇠고기,512,100G,1500,0
20130101,서울서부,1102,바나나,418,100G,180,0
20130101,서울서부,1102,바나나,418,100G,150,0
20130101,서울서부,1102,방울토마토,422,1KG,7000,0
20130101,서울서부,1102,방울토마토,422,1KG,6000,0
20130101,서울서부,1102,우유,535,1L,2400,0
20130101,서울서부,1102,고등어,611,1마리,2000,0
20130101,서울서부,1102,명태,615,1마리,2000,0
20130101,서울서부,1102,물오징어,619,1마리,2500,0
20130101,서울서부,1102,물오징어,619,1마리,2000,0
20130101,서울서부,1102,팽이버섯,316,100G,230,0
20130101,서울서부,1102,사과,411,10개,30000,0
20130101,서울서부,1102,사과,411,10개,25000,0
20130101,서울서부,1102,배,412,10개,40000,0
20130101,서울서부,1102,배,412,10개,30000,0
20130101,서울서부,1102,감귤,415,10개,2500,0
20130101,서울서부,1102,감귤,415,10개,2000,0
20130101,서울서부,1102,단감,416,10개,10000,0
20130101,서울서부,1102,단감,416,10개,8000,0
20130101,서울서부,1102,파,246,1KG,5000,0
20130101,서울서부,1102,생강,247,1KG,6000,0
