조사일,조사지역명,품목명,규격,조사가격,전일조사가격
20130101,제주,얼갈이배추,1.5KG,2740,0
20130101,제주,건멸치,100G,2720,0
20130101,제주,깻잎,200G,5800,0
20130101,제주,피망(청),100G,1290,0
20130101,제주,땅콩,100G,2640,0
20130101,제주,느타리버섯,100G,990,0
20130101,제주,팽이버섯,100G,370,0
20130101,제주,사과,10개,19930,0
20130101,제주,사과,10개,13800,0
20130101,제주,배,10개,38330,0
20130101,제주,배,10개,30000,0
20130101,제주,풋고추,100G,1320,0
20130101,제주,풋고추,100G,1650,0
20130101,제주,풋고추,100G,1320,0
20130101,제주,붉은고추,100G,1450,0
20130101,제주,마늘,1KG,9260,0
20130101,제주,양파,1KG,2390,0
20130101,제주,파,1KG,4540,0
20130101,제주,생강,1KG,12330,0
20130101,제주,미나리,1KG,12900,0
20130101,제주,수박,1개,18800,0
20130101,제주,수박,1개,14800,0
20130101,제주,오이,10개,9620,0
20130101,제주,오이,10개,9900,0
20130101,제주,오이,10개,11900,0
20130101,제주,호박,1개,1980,0
20130101,제주,호박,1개,2180,0
20130101,제주,토마토,1KG,6950,0
20130101,제주,당근,1KG,5480,0
20130101,제주,쌀,20KG,45800,0
20130101,제주,찹쌀,1KG,5800,0
20130101,제주,콩,1KG,13200,0
20130101,제주,팥(적두),1KG,27800,0
20130101,제주,고구마,1KG,3980,0
20130101,제주,감자,1KG,4980,0
20130101,제주,배추,포기,2980,0
20130101,제주,양배추,포기,3280,0
20130101,제주,시금치,1KG,7290,0
20130101,제주,상추,100G,1470,0
20130101,제주,상추,100G,1170,0
20130101,제주,포도,1KG,8700,0
20130101,제주,감귤,10개,2980,0
20130101,제주,단감,10개,5800,0
20130101,제주,바나나,100G,180,0
20130101,제주,방울토마토,1KG,11970,0
20130101,제주,우유,1L,2340,0
20130101,제주,물오징어,1마리,3280,0
20130101,제주,물오징어,1마리,1980,0
20130101,제주,쇠고기,100G,6800,0
20130101,제주,쇠고기,100G,1450,0
20130101,제주,쇠고기,100G,1850,0
20130101,제주,쇠고기,100G,2680,0
20130101,제주,쇠고기,100G,3500,0
20130102,제주,얼갈이배추,1.5KG,2740,2740
20130102,제주,오이,10개,9900,9900
20130102,제주,오이,10개,11900,11900
20130102,제주,호박,1개,1980,1980
20130102,제주,호박,1개,2180,2180
20130102,제주,토마토,1KG,6950,6950
20130102,제주,당근,1KG,5480,5480
20130102,제주,풋고추,100G,1320,1320
20130102,제주,풋고추,100G,1650,1650
20130102,제주,풋고추,100G,1320,1320
20130102,제주,쌀,20KG,45800,45800
20130102,제주,찹쌀,1KG,5800,5800
20130102,제주,콩,1KG,13200,13200
20130102,제주,팥(적두),1KG,27800,27800
20130102,제주,고구마,1KG,3980,3980
20130102,제주,감자,1KG,4980,4980
20130102,제주,배추,포기,2980,0
20130102,제주,배추,포기,2780,0
20130102,제주,양배추,포기,3280,3280
20130102,제주,시금치,1KG,7290,7290
20130102,제주,상추,100G,1470,1470
20130102,제주,상추,100G,1170,1170
20130102,제주,수박,1개,18800,18800
20130102,제주,수박,1개,14800,14800
20130102,제주,오이,10개,9620,9620
20130102,제주,붉은고추,100G,1450,1450
20130102,제주,마늘,1KG,9260,9260
20130102,제주,양파,1KG,2390,2390
20130102,제주,파,1KG,4540,4540
20130102,제주,생강,1KG,12330,12330
20130102,제주,미나리,1KG,12900,12900
20130102,제주,깻잎,200G,5800,5800
