2013,4,214
��조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,서울서부,열무,233,1.5KG,2500,0
20130101,서울서부,쇠고기,512,100G,1240,0
20130101,서울서부,쇠고기,512,100G,1500,0
20130101,서울서부,바나나,418,100G,180,0
20130101,서울서부,바나나,418,100G,150,0
20130101,서울서부,방울토마토,422,1KG,7000,0
20130101,서울서부,방울토마토,422,1KG,6000,0
20130101,서울서부,우유,535,1L,2400,0
20130101,서울서부,고등어,611,1,2000,0
20130101,서울서부,명태,615,1,2000,0
20130101,서울서부,물오징어,619,1,2500,0
20130101,서울서부,물오징어,619,1,2000,0
20130101,서울서부,팽이버섯,316,100G,230,0
20130101,서울서부,사과,411,10,30000,0
20130101,서울서부,사과,411,10,25000,0
20130101,서울서부,배,412,10,40000,0
20130101,서울서부,배,412,10,30000,0
20130101,서울서부,감귤,415,10,2500,0
20130101,서울서부,감귤,415,10,2000,0
20130101,서울서부,단감,416,10,10000,0
20130101,서울서부,단감,416,10,8000,0
20130101,서울서부,파,246,1KG,5000,0
20130101,서울서부,생강,247,1KG,6000,0
20130101,서울서부,생강,247,1KG,5500,0
20130101,서울서부,미나리,252,1KG,4000,0
20130101,서울서부,미나리,252,1KG,3500,0
20130101,서울서부,깻잎,253,200G,4000,0
20130101,서울서부,깻잎,253,200G,3000,0
20130101,서울서부,피망(청),255,100G,800,0
20130101,서울서부,피망(청),255,100G,700,0
20130101,서울서부,건고추,241,600G,18000,0
20130101,서울서부,건고추,241,600G,16000,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,870,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,750,0
20130101,서울서부,풋고추,242,100G,1000,0
20130101,서울서부,풋고추,242,100G,750,0
20130101,서울서부,붉은고추,243,100G,1000,0
20130101,서울서부,수박,221,1,15000,0
20130101,서울서부,오이,223,10,6600,0
20130101,서울서부,오이,223,10,6000,0
20130101,서울서부,오이,223,10,8000,0
20130101,서울서부,오이,223,10,6000,0
20130101,서울서부,호박,224,1,1800,0
20130101,서울서부,호박,224,1,1500,0
20130101,서울서부,호박,224,1,1700,0
20130101,서울서부,호박,224,1,1500,0
20130101,서울서부,녹두,143,1KG,16000,0
20130101,서울서부,녹두,143,1KG,15000,0
20130101,서울서부,고구마,151,1KG,4000,0
20130101,서울서부,고구마,151,1KG,3000,0
20130101,서울서부,감자,152,1KG,2500,0
