조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20140101,인천,쌀,111,20KG,48300,0
20140101,인천,풋고추,242,100G,750,0
20140101,인천,풋고추,242,100G,1000,0
20140101,인천,풋고추,242,100G,660,0
20140101,인천,풋고추,242,100G,910,0
20140101,인천,건고추,241,600G,14000,0
20140101,인천,건고추,241,600G,15500,0
20140101,인천,건고추,241,600G,10000,0
20140101,인천,건고추,241,600G,12000,0
20140101,인천,열무,233,1.5KG,1200,0
20140101,인천,건멸치,638,100G,1860,0
20140101,인천,물오징어,619,1,2500,0
20140101,인천,물오징어,619,1,2500,0
20140101,인천,명태,615,1,2000,0
20140101,인천,고등어,611,1,2000,0
20140101,인천,우유,535,1L,2600,0
20140101,인천,쇠고기,512,100G,1270,0
20140101,인천,쇠고기,512,100G,1560,0
20140101,인천,쇠고기,512,100G,2170,0
20140101,인천,쇠고기,512,100G,2740,0
20140101,인천,방울토마토,422,1KG,4000,0
20140101,인천,방울토마토,422,1KG,5000,0
20140101,인천,바나나,418,100G,220,0
20140101,인천,바나나,418,100G,250,0
20140101,인천,단감,416,10,8000,0
20140101,인천,단감,416,10,10000,0
20140101,인천,감귤,415,10,2500,0
20140101,인천,감귤,415,10,3000,0
20140101,인천,포도,414,1KG,6250,0
20140101,인천,배,412,10,20000,0
20140101,인천,배,412,10,30000,0
20140101,인천,사과,411,10,15000,0
20140101,인천,사과,411,10,20000,0
20140101,인천,팽이버섯,316,100G,500,0
20140101,인천,팽이버섯,316,100G,680,0
20140101,인천,느타리버섯,315,100G,500,0
20140101,인천,느타리버섯,315,100G,700,0
20140101,인천,땅콩,314,100G,580,0
20140101,인천,참깨,312,500G,3500,0
20140101,인천,참깨,312,500G,9000,0
20140101,인천,참깨,312,500G,11000,0
20140101,인천,피망(청),255,100G,500,0
20140101,인천,피망(청),255,100G,650,0
20140101,인천,깻잎,253,200G,2500,0
20140101,인천,깻잎,253,200G,3000,0
20140101,인천,미나리,252,1KG,3500,0
20140101,인천,미나리,252,1KG,4000,0
20140101,인천,생강,247,1KG,4000,0
20140101,인천,생강,247,1KG,5000,0
20140101,인천,파,246,1KG,2500,0
20140101,인천,파,246,1KG,3000,0
20140101,인천,파,246,1KG,1500,0
20140101,인천,파,246,1KG,2000,0
20140101,인천,양파,245,1KG,1330,0
20140101,인천,양파,245,1KG,1560,0
20140101,인천,마늘,244,1KG,5000,0
20140101,인천,마늘,244,1KG,6000,0
20140101,인천,붉은고추,243,100G,910,0
20140101,인천,붉은고추,243,100G,1330,0
20140101,인천,풋고추,242,100G,500,0
20140101,인천,풋고추,242,100G,750,0
20140101,인천,열무,233,1.5KG,1700,0
20140101,인천,당근,232,1KG,2500,0
20140101,인천,당근,232,1KG,3000,0
20140101,인천,딸기,226,100G,1200,0
20140101,인천,딸기,226,100G,1400,0
20140101,인천,토마토,225,1KG,4500,0
20140101,인천,토마토,225,1KG,5000,0
20140101,인천,오이,223,10,5000,0
20140101,인천,오이,223,10,7000,0
20140101,인천,수박,221,1,12000,0
20140101,인천,수박,221,1,15000,0
20140101,인천,얼갈이배추,215,1.5KG,1200,0
20140101,인천,얼갈이배추,215,1.5KG,1500,0
20140101,인천,상추,214,100G,460,0
20140101,인천,상추,214,100G,660,0
20140101,인천,시금치,213,1KG,2500,0
20140101,인천,호박,224,1,1000,0
20140101,인천,호박,224,1,1500,0
20140101,인천,오이,223,10,6000,0
20140101,인천,오이,223,10,7000,0
20140101,인천,시금치,213,1KG,3000,0
20140101,인천,양배추,212,1,2000,0
20140101,인천,양배추,212,1,2500,0
20140101,인천,배추,211,1,2000,0
20140101,인천,배추,211,1,2500,0
20140101,인천,감자,152,1KG,1500,0
20140101,인천,감자,152,1KG,2000,0
20140101,인천,고구마,151,1KG,2500,0
20140101,인천,녹두,143,1KG,15000,0
20140101,인천,콩,141,1KG,6000,0
20140101,인천,찹쌀,112,1KG,3160,0
20140101,인천,고구마,151,1KG,3000,0
20140101,인천,팥(적두),142,1KG,9330,0
20140101,인천,팥(적두),142,1KG,11000,0
20140101,인천,콩,141,1KG,7000,0
20140101,인천,쌀,111,20KG,47000,0
20140101,인천,건멸치,638,100G,3650,0
