조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20220101,대구,녹두,143,500G,10000,0
20220101,경북포항,녹두,143,500G,11800,0
20220101,대구,당근,232,1KG,3000,0
20220101,대구,당근,232,1KG,2980,0
20220101,대구,당근,232,1KG,2800,0
20220101,경북포항,당근,232,1KG,2660,0
20220101,경북포항,당근,232,1KG,4290,0
20220101,경북안동,당근,232,1KG,2980,0
20220101,대구,고구마(밤),151,1KG,5000,0
20220101,대구,고구마(밤),151,1KG,5980,0
20220101,대구,고구마(밤),151,1KG,5950,0
20220101,대구,당근,232,1KG,2500,0
20220101,대구,열무,233,1KG,2650,0
20220101,대구,열무,233,1KG,6150,0
20220101,경북안동,열무,233,1KG,3050,0
20220101,경북포항,고구마(밤),151,1KG,4330,0
20220101,경북포항,고구마(밤),151,1KG,6270,0
20220101,경북안동,고구마(밤),151,1KG,5990,0
20220101,경북포항,딸기,226,100G,2580,0
20220101,경북포항,딸기,226,100G,2650,0
20220101,경북안동,딸기,226,100G,2580,0
20220101,대구,딸기,226,100G,2660,0
20220101,대구,상추,214,100G,800,0
20220101,대구,상추,214,100G,790,0
20220101,대구,상추,214,100G,1430,0
20220101,경북포항,상추,214,100G,800,0
20220101,경북포항,상추,214,100G,1060,0
20220101,경북안동,상추,214,100G,890,0
20220101,대구,고구마(밤),151,1KG,4330,0
20220101,대구,건고추,241,600G,13000,0
20220101,대구,건고추,241,600G,11980,0
20220101,경북포항,건고추,241,600G,15000,0
20220101,대구,건고추,241,600G,18000,0
20220101,대구,무,231,1,2000,0
20220101,대구,무,231,1,1480,0
20220101,경북포항,무,231,1,2000,0
20220101,경북안동,무,231,1,1480,0
20220101,대구,상추,214,100G,680,0
20220101,대구,상추,214,100G,850,0
20220101,대구,상추,214,100G,1560,0
20220101,대구,깻잎,253,100G,2000,0
20220101,대구,깻잎,253,100G,2960,0
20220101,대구,깻잎,253,100G,2410,0
20220101,대구,감자,152,100G,330,0
20220101,대구,감자,152,100G,450,0
20220101,경북포항,감자,152,100G,300,0
20220101,경북포항,감자,152,100G,799,0
20220101,경북안동,감자,152,100G,450,0
20220101,대구,감자,152,100G,280,0
20220101,경북포항,호박,224,1,1760,0
20220101,경북포항,호박,224,1,2290,0
20220101,경북안동,호박,224,1,2180,0
