조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20220101,부산,녹두,143,500G,10500,0
20220101,울산,녹두,143,500G,9580,0
20220101,부산,당근,232,1KG,2500,0
20220101,부산,당근,232,1KG,2800,0
20220101,부산,당근,232,1KG,2930,0
20220101,울산,당근,232,1KG,3060,0
20220101,울산,당근,232,1KG,2800,0
20220101,경남창원,당근,232,1KG,3100,0
20220101,경남창원,당근,232,1KG,2980,0
20220101,부산,고구마(밤),151,1KG,5000,0
20220101,부산,고구마(밤),151,1KG,5950,0
20220101,부산,고구마(밤),151,1KG,5270,0
20220101,울산,고구마(밤),151,1KG,5330,0
20220101,울산,고구마(밤),151,1KG,5950,0
20220101,부산,당근,232,1KG,2000,0
20220101,울산,당근,232,1KG,2600,0
20220101,부산,열무,233,1,6150,0
20220101,울산,열무,233,1,6150,0
20220101,경남창원,열무,233,1,2340,0
20220101,경남창원,고구마(밤),151,1KG,4500,0
20220101,경남창원,고구마(밤),151,1KG,5980,0
20220101,울산,딸기,226,100G,2330,0
20220101,울산,딸기,226,100G,3140,0
20220101,경남창원,딸기,226,100G,2300,0
20220101,경남창원,딸기,226,100G,2580,0
20220101,부산,딸기,226,100G,2000,0
20220101,부산,상추,214,100G,800,0
20220101,부산,상추,214,100G,1430,0
20220101,울산,상추,214,100G,960,0
20220101,울산,상추,214,100G,1430,0
20220101,경남창원,딸기,226,100G,1930,0
20220101,부산,고구마(밤),151,1KG,4000,0
20220101,울산,고구마(밤),151,1KG,4830,0
20220101,부산,감자,152,100G,300,0
20220101,부산,건고추,241,600G,18000,0
20220101,경남창원,건고추,241,600G,16000,0
20220101,부산,건고추,241,600G,21000,0
20220101,울산,건고추,241,600G,17000,0
20220101,부산,무,231,1,2000,0
20220101,부산,무,231,1,1990,0
20220101,울산,무,231,1,2000,0
20220101,경남창원,무,231,1,2000,0
20220101,경남창원,무,231,1,1480,0
20220101,경남창원,상추,214,100G,660,0
20220101,경남창원,상추,214,100G,890,0
20220101,부산,상추,214,100G,600,0
20220101,울산,상추,214,100G,830,0
20220101,부산,상추,214,100G,800,0
20220101,부산,상추,214,100G,1560,0
20220101,울산,상추,214,100G,1560,0
20220101,울산,미나리,252,1KG,800,0
20220101,경남창원,미나리,252,1KG,810,0
20220101,부산,깻잎,253,100G,1500,0
20220101,부산,깻잎,253,100G,2410,0
20220101,부산,깻잎,253,100G,1660,0
20220101,부산,쌀,111,20KG,57000,0
20220101,부산,감자,152,100G,250,0
20220101,울산,감자,152,100G,290,0
20220101,경남창원,감자,152,100G,300,0
20220101,부산,감자,152,100G,240,0
20220101,울산,감자,152,100G,250,0
20220101,울산,호박,224,1,2000,0
20220101,울산,호박,224,1,2390,0
20220101,경남창원,호박,224,1,1760,0
20220101,경남창원,호박,224,1,2180,0
20220101,부산,호박,224,1,1200,0
20220101,부산,무,231,1,1500,0
20220101,부산,무,231,1,1890,0
20220101,울산,무,231,1,1500,0
20220101,울산,무,231,1,1890,0
20220101,경남창원,무,231,1,1500,0
20220101,부산,상추,214,100G,600,0
20220101,부산,얼갈이배추,215,1,1800,0
20220101,부산,얼갈이배추,215,1,4780,0
20220101,울산,얼갈이배추,215,1,4780,0
20220101,부산,사과,411,10,20000,0
20220101,부산,사과,411,10,13000,0
20220101,부산,사과,411,10,19800,0
20220101,울산,사과,411,10,19000,0
20220101,울산,사과,411,10,13000,0
20220101,경남창원,사과,411,10,17450,0
20220101,부산,쇠고기,512,100G,8000,0
20220101,울산,쇠고기,512,100G,9820,0
20220101,경남창원,쇠고기,512,100G,9080,0
20220101,부산,쇠고기,512,100G,4500,0
20220101,울산,쇠고기,512,100G,4560,0
20220101,부산,단감,416,10,17000,0
20220101,울산,단감,416,10,12000,0
20220101,부산,단감,416,10,12000,0
20220101,부산,단감,416,10,11800,0
20220101,부산,쇠고기,512,100G,2780,0
20220101,울산,쇠고기,512,100G,3500,0
20220101,부산,우유,535,1L,2710,0
20220101,부산,우유,535,1L,2750,0
20220101,울산,우유,535,1L,2710,0
20220101,경남창원,우유,535,1L,2710,0
20220101,부산,쌀,111,20KG,49900,0
20220101,부산,쌀,111,20KG,53900,0
20220101,울산,쌀,111,20KG,60000,0
20220101,울산,쌀,111,20KG,49900,0
20220101,경남창원,쌀,111,20KG,55300,0
20220101,경남창원,쌀,111,20KG,53900,0
20220101,경남창원,감자,152,100G,250,0
20220101,부산,배추,211,1,4000,0
20220101,부산,배추,211,1,4990,0
20220101,울산,배추,211,1,4330,0
20220101,경남창원,배추,211,1,4000,0
20220101,부산,배추,211,1,3500,0
20220101,부산,배추,211,1,4290,0
20220101,울산,배추,211,1,3330,0
20220101,울산,배추,211,1,4290,0
20220101,경남창원,얼갈이배추,215,1,3060,0
20220101,부산,갓,216,1KG,4000,0
20220101,부산,갓,216,1KG,3320,0
20220101,울산,갓,216,1KG,3000,0
20220101,경남창원,쇠고기,512,100G,4980,0
20220101,울산,깻잎,253,100G,1860,0
20220101,울산,깻잎,253,100G,2410,0
20220101,경남창원,깻잎,253,100G,1890,0
20220101,경남창원,깻잎,253,100G,2480,0
20220101,부산,피망,255,100G,900,0
20220101,경남창원,풋고추,242,100G,1030,0
20220101,경남창원,풋고추,242,100G,1650,0
20220101,부산,풋고추,242,100G,950,0
20220101,울산,풋고추,242,100G,800,0
20220101,부산,파프리카,256,200G,1200,0
20220101,울산,파프리카,256,200G,1000,0
20220101,경남창원,파프리카,256,200G,1160,0
20220101,부산,멜론,257,1,12000,0
20220101,부산,멜론,257,1,12900,0
20220101,울산,멜론,257,1,12990,0
20220101,울산,참다래,419,10,8230,0
20220101,경남창원,참다래,419,10,7250,0
20220101,부산,참다래,419,10,8090,0
20220101,경남창원,참다래,419,10,5660,0
20220101,부산,파인애플,420,1,6500,0
20220101,경남창원,명태,615,1,2500,0
20220101,부산,물오징어,619,1,6590,0
20220101,부산,물오징어,619,1,5900,0
20220101,울산,물오징어,619,1,4000,0
20220101,울산,물오징어,619,1,6590,0
20220101,울산,호박,224,1,1500,0
20220101,부산,호박,224,1,2490,0
20220101,부산,호박,224,1,2490,0
20220101,울산,호박,224,1,2490,0
20220101,경남창원,호박,224,1,1530,0
20220101,부산,찹쌀,112,1KG,4000,0
20220101,부산,찹쌀,112,1KG,3480,0
20220101,부산,찹쌀,112,1KG,5900,0
20220101,울산,찹쌀,112,1KG,5000,0
20220101,울산,찹쌀,112,1KG,3480,0
20220101,부산,고춧가루,248,1KG,30000,0
20220101,부산,고춧가루,248,1KG,33600,0
20220101,부산,고춧가루,248,1KG,34900,0
20220101,울산,고춧가루,248,1KG,30000,0
20220101,울산,고춧가루,248,1KG,33600,0
20220101,경남창원,호두,318,100G,1560,0
20220101,경남창원,호두,318,100G,1660,0
20220101,부산,피망,255,100G,2000,0
20220101,부산,배,412,10,35000,0
20220101,부산,배,412,10,35980,0
20220101,부산,배,412,10,39000,0
20220101,울산,배,412,10,33300,0
20220101,울산,배,412,10,35980,0
20220101,경남창원,배,412,10,32200,0
20220101,경남창원,배,412,10,44500,0
20220101,부산,쇠고기,512,100G,20440,0
20220101,부산,쇠고기,512,100G,14500,0
20220101,울산,쇠고기,512,100G,20440,0
20220101,경남창원,쇠고기,512,100G,17880,0
20220101,부산,쇠고기,512,100G,10300,0
20220101,부산,쇠고기,512,100G,13500,0
20220101,울산,쇠고기,512,100G,10600,0
20220101,경남창원,쇠고기,512,100G,16880,0
20220101,부산,쇠고기,512,100G,2780,0
20220101,울산,단감,416,10,9980,0
20220101,경남창원,단감,416,10,11300,0
20220101,부산,바나나,418,100G,300,0
20220101,울산,바나나,418,100G,280,0
20220101,경남창원,바나나,418,100G,360,0
20220101,부산,고등어,611,1,3000,0
20220101,부산,고등어,611,1,3580,0
