조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,광주,열무,233,1.5KG,3000,0
20130101,광주,쇠고기,512,100G,1800,0
20130101,광주,쇠고기,512,100G,2200,0
20130101,광주,배,412,1,30000,0
20130101,광주,포도,414,1KG,6500,0
20130101,광주,감귤,415,1,2500,0
20130101,광주,감귤,415,1,2000,0
20130101,광주,바나나,418,100G,220,0
20130101,광주,바나나,418,100G,190,0
20130101,광주,방울토마토,422,1KG,6500,0
20130101,광주,방울토마토,422,1KG,5500,0
20130101,광주,우유,535,1L,2300,0
20130101,광주,참깨,312,500G,4000,0
20130101,광주,땅콩,314,100G,1600,0
20130101,광주,땅콩,314,100G,1400,0
20130101,광주,양파,245,1KG,1300,0
20130101,광주,파,246,1KG,3000,0
20130101,광주,파,246,1KG,2700,0
20130101,광주,파,246,1KG,6000,0
20130101,광주,파,246,1KG,5500,0
20130101,광주,생강,247,1KG,7000,0
20130101,광주,생강,247,1KG,6000,0
20130101,광주,미나리,252,1KG,4500,0
20130101,광주,미나리,252,1KG,4000,0
20130101,광주,건고추,241,600G,16000,0
20130101,광주,건고추,241,600G,15000,0
20130101,광주,풋고추,242,100G,800,0
20130101,광주,풋고추,242,100G,700,0
20130101,광주,풋고추,242,100G,900,0
20130101,광주,쌀,111,20KG,47000,0
20130101,광주,찹쌀,112,1KG,4000,0
20130101,광주,콩,141,1KG,7500,0
20130101,광주,콩,141,1KG,7000,0
20130101,광주,팥(적두),142,1KG,13000,0
20130101,광주,팥(적두),142,1KG,12000,0
20130101,광주,녹두,143,1KG,14000,0
20130101,광주,녹두,143,1KG,12000,0
20130101,광주,고구마,151,1KG,4000,0
20130101,광주,고구마,151,1KG,3000,0
20130101,광주,감자,152,1KG,2500,0
20130101,광주,감자,152,1KG,2000,0
20130101,광주,배추,211,1,4000,0
20130101,광주,배추,211,1,3500,0
20130101,광주,양배추,212,1,5000,0
20130101,광주,양배추,212,1,4500,0
20130101,광주,시금치,213,1KG,5000,0
20130101,광주,시금치,213,1KG,4500,0
20130101,광주,상추,214,100G,900,0
20130101,광주,상추,214,100G,800,0
20130101,광주,상추,214,100G,900,0
20130101,광주,상추,214,100G,800,0
20130101,광주,수박,221,1,17000,0
20130101,광주,수박,221,1,15000,0
20130101,광주,오이,223,1,8000,0
20130101,광주,오이,223,1,7000,0
20130101,광주,호박,224,1,1800,0
20130101,광주,호박,224,1,1500,0
20130101,광주,호박,224,1,1500,0
20130101,광주,호박,224,1,1200,0
20130101,광주,토마토,225,1KG,5000,0
20130101,광주,토마토,225,1KG,4000,0
20130101,광주,무,231,1,2000,0
20130101,광주,무,231,1,1500,0
20130101,광주,당근,232,1KG,5000,0
20130101,광주,당근,232,1KG,4500,0
20130101,광주,건고추,241,600G,14000,0
20130101,광주,건고추,241,600G,13000,0
20130101,광주,풋고추,242,100G,800,0
20130101,광주,풋고추,242,100G,1200,0
20130101,광주,풋고추,242,100G,1100,0
20130101,광주,붉은고추,243,100G,1000,0
20130101,광주,붉은고추,243,100G,900,0
20130101,광주,마늘,244,1KG,7000,0
20130101,광주,마늘,244,1KG,6000,0
20130101,광주,양파,245,1KG,1400,0
20130101,광주,깻잎,253,200G,3800,0
20130101,광주,깻잎,253,200G,3300,0
20130101,광주,피망(청),255,100G,1000,0
20130101,광주,피망(청),255,100G,800,0
20130101,광주,참깨,312,500G,11000,0
20130101,광주,참깨,312,500G,10000,0
20130101,광주,땅콩,314,100G,500,0
20130101,광주,느타리버섯,315,100G,900,0
20130101,광주,느타리버섯,315,100G,800,0
20130101,광주,팽이버섯,316,100G,300,0
20130101,광주,팽이버섯,316,100G,270,0
20130101,광주,사과,411,1,25000,0
20130101,광주,사과,411,1,20000,0
20130101,광주,배,412,1,35000,0
20130101,광주,고등어,611,1,3000,0
20130101,광주,고등어,611,1,2500,0
20130101,광주,명태,615,1,2000,0
20130101,광주,물오징어,619,1,2500,0
20130101,광주,물오징어,619,1,2000,0
20130101,광주,건멸치,638,100G,1700,0
20130101,광주,쇠고기,512,100G,4500,0
20130101,광주,쇠고기,512,100G,2500,0
