조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,전북전주,열무,233,1.5KG,3000,0
20130101,전북전주,얼갈이배추,215,1.5KG,3000,0
20130101,전북전주,쇠고기,512,100G,1100,0
20130101,전북전주,얼갈이배추,215,1.5KG,2500,0
20130101,전북전주,열무,233,1.5KG,3500,0
20130101,전북전주,쇠고기,512,100G,1200,0
20130101,전북전주,쇠고기,512,100G,2170,0
20130101,전북전주,방울토마토,422,1KG,6000,0
20130101,전북전주,우유,535,1L,2400,0
20130101,전북전주,고등어,611,1,3000,0
20130101,전북전주,명태,615,1,2500,0
20130101,전북전주,물오징어,619,1,2500,0
20130101,전북전주,물오징어,619,1,2000,0
20130101,전북전주,건멸치,638,100G,2000,0
20130101,전북전주,쇠고기,512,100G,5000,0
20130101,전북전주,쇠고기,512,100G,3300,0
20130101,전북전주,배,412,10,30000,0
20130101,전북전주,포도,414,1KG,7660,0
20130101,전북전주,감귤,415,10,2500,0
20130101,전북전주,감귤,415,10,2000,0
20130101,전북전주,단감,416,10,10000,0
20130101,전북전주,단감,416,10,7000,0
20130101,전북전주,바나나,418,100G,230,0
20130101,전북전주,바나나,418,100G,190,0
20130101,전북전주,방울토마토,422,1KG,7000,0
20130101,전북전주,파,246,1KG,3000,0
20130101,전북전주,파,246,1KG,2500,0
20130101,전북전주,파,246,1KG,6000,0
20130101,전북전주,파,246,1KG,5500,0
20130101,전북전주,생강,247,1KG,7000,0
20130101,전북전주,생강,247,1KG,6000,0
20130101,전북전주,미나리,252,1KG,4500,0
20130101,전북전주,미나리,252,1KG,4000,0
20130101,전북전주,깻잎,253,200G,3800,0
20130101,전북전주,깻잎,253,200G,3000,0
20130101,전북전주,피망(청),255,100G,1000,0
20130101,전북전주,피망(청),255,100G,900,0
20130101,전북전주,참깨,312,500G,11000,0
20130101,전북전주,참깨,312,500G,10000,0
20130101,전북전주,참깨,312,500G,3500,0
20130101,전북전주,땅콩,314,100G,1800,0
20130101,전북전주,땅콩,314,100G,1500,0
20130101,전북전주,땅콩,314,100G,700,0
20130101,전북전주,느타리버섯,315,100G,900,0
20130101,전북전주,느타리버섯,315,100G,800,0
20130101,전북전주,팽이버섯,316,100G,350,0
20130101,전북전주,팽이버섯,316,100G,250,0
20130101,전북전주,사과,411,10,25000,0
20130101,전북전주,사과,411,10,20000,0
20130101,전북전주,배,412,10,35000,0
20130101,전북전주,풋고추,242,100G,1000,0
20130101,전북전주,풋고추,242,100G,1000,0
20130101,전북전주,풋고추,242,100G,900,0
20130101,전북전주,붉은고추,243,100G,1100,0
20130101,전북전주,붉은고추,243,100G,1000,0
20130101,전북전주,마늘,244,1KG,7000,0
20130101,전북전주,마늘,244,1KG,6000,0
20130101,전북전주,양파,245,1KG,1500,0
20130101,전북전주,양파,245,1KG,1300,0
20130101,전북전주,호박,224,1,2000,0
20130101,전북전주,호박,224,1,1500,0
20130101,전북전주,호박,224,1,1800,0
20130101,전북전주,호박,224,1,1500,0
20130101,전북전주,토마토,225,1KG,5000,0
20130101,전북전주,토마토,225,1KG,4000,0
20130101,전북전주,무,231,1,2000,0
20130101,전북전주,무,231,1,1500,0
20130101,전북전주,당근,232,1KG,4500,0
20130101,전북전주,쌀,111,20KG,46600,0
20130101,전북전주,찹쌀,112,1KG,3200,0
20130101,전북전주,콩,141,1KG,7830,0
20130101,전북전주,콩,141,1KG,6000,0
20130101,전북전주,팥(적두),142,1KG,12000,0
20130101,전북전주,팥(적두),142,1KG,10600,0
20130101,전북전주,녹두,143,1KG,15000,0
