조사일,조사지역명,품목명,규격,조사가격,전일조사가격
20140101,대전,쌀,20KG,48000,0
20140101,대전,얼갈이배추,1.5KG,1200,0
20140101,대전,얼갈이배추,1.5KG,1500,0
20140101,대전,상추,100G,400,0
20140101,대전,상추,100G,500,0
20140101,대전,상추,100G,500,0
20140101,대전,상추,100G,600,0
20140101,대전,감자,1KG,1700,0
20140101,대전,감자,1KG,2000,0
20140101,대전,고구마,1KG,2500,0
20140101,대전,고구마,1KG,3000,0
20140101,대전,녹두,1KG,12000,0
20140101,대전,녹두,1KG,14000,0
20140101,대전,찹쌀,1KG,3400,0
20140101,대전,콩,1KG,7000,0
20140101,대전,호박,1,1500,0
20140101,대전,오이,10,6000,0
20140101,대전,오이,10,7000,0
20140101,대전,오이,10,6000,0
20140101,대전,오이,10,8000,0
20140101,대전,수박,1,12000,0
20140101,대전,수박,1,15000,0
20140101,대전,시금치,1KG,2500,0
20140101,대전,시금치,1KG,3000,0
20140101,대전,건멸치,100G,2000,0
20140101,대전,물오징어,1,2000,0
20140101,대전,물오징어,1,2500,0
20140101,대전,명태,1,2000,0
20140101,대전,고등어,1,2000,0
20140101,대전,고등어,1,3000,0
20140101,대전,우유,1L,2500,0
20140101,대전,쇠고기,100G,1200,0
20140101,대전,쇠고기,100G,1400,0
20140101,대전,쇠고기,100G,1400,0
20140101,대전,쇠고기,100G,2000,0
20140101,대전,쇠고기,100G,2400,0
20140101,대전,쇠고기,100G,3000,0
20140101,대전,쇠고기,100G,5000,0
20140101,대전,쇠고기,100G,3300,0
20140101,대전,방울토마토,1KG,4000,0
20140101,대전,방울토마토,1KG,5000,0
20140101,대전,바나나,100G,200,0
20140101,대전,바나나,100G,250,0
20140101,대전,단감,10,9000,0
20140101,대전,단감,10,12000,0
20140101,대전,감귤,10,2200,0
20140101,대전,감귤,10,2500,0
20140101,대전,포도,1KG,7000,0
20140101,대전,배,10,25000,0
20140101,대전,배,10,30000,0
20140101,대전,사과,10,18000,0
20140101,대전,사과,10,25000,0
20140101,대전,팽이버섯,100G,400,0
20140101,대전,팽이버섯,100G,600,0
20140101,대전,느타리버섯,100G,600,0
20140101,대전,느타리버섯,100G,800,0
20140101,대전,땅콩,100G,600,0
