조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20220101,대전,녹두,143,500G,10600,0
20220101,대전,당근,232,1KG,2600,0
20220101,대전,당근,232,1KG,2980,0
20220101,대전,당근,232,1KG,4290,0
20220101,대전,고구마(밤),151,1KG,5660,0
20220101,대전,고구마(밤),151,1KG,5990,0
20220101,대전,고구마(밤),151,1KG,4660,0
20220101,대전,당근,232,1KG,1900,0
20220101,대전,딸기,226,100G,2850,0
20220101,대전,딸기,226,100G,2780,0
20220101,대전,딸기,226,100G,2780,0
20220101,대전,딸기,226,100G,2450,0
20220101,대전,상추,214,100G,930,0
20220101,대전,상추,214,100G,890,0
20220101,대전,상추,214,100G,1060,0
20220101,대전,고구마(밤),151,1KG,4830,0
20220101,대전,건고추,241,600G,13000,0
20220101,대전,건고추,241,600G,15700,0
20220101,대전,무,231,1,1700,0
20220101,대전,무,231,1,1480,0
20220101,대전,무,231,1,1590,0
20220101,대전,상추,214,100G,680,0
20220101,대전,상추,214,100G,780,0
20220101,대전,상추,214,100G,1060,0
20220101,대전,미나리,252,1KG,950,0
20220101,대전,감자,152,100G,310,0
20220101,대전,감자,152,100G,799,0
20220101,대전,감자,152,100G,260,0
20220101,대전,호박,224,1,2000,0
20220101,대전,호박,224,1,2180,0
20220101,대전,호박,224,1,2290,0
20220101,대전,무,231,1,1200,0
20220101,대전,상추,214,100G,560,0
20220101,대전,얼갈이배추,215,1KG,2160,0
20220101,대전,얼갈이배추,215,1KG,3880,0
20220101,대전,사과,411,10,18300,0
20220101,대전,사과,411,10,12000,0
20220101,대전,사과,411,10,17980,0
20220101,대전,쇠고기,512,100G,4400,0
20220101,대전,쇠고기,512,100G,4975,0
20220101,대전,쇠고기,512,100G,8400,0
20220101,대전,단감,416,10,15500,0
20220101,대전,단감,416,10,17980,0
20220101,대전,단감,416,10,10000,0
20220101,대전,단감,416,10,12900,0
20220101,대전,쇠고기,512,100G,2330,0
20220101,대전,우유,535,1L,2710,0
20220101,대전,우유,535,1L,2710,0
20220101,대전,쌀,111,20KG,58300,0
20220101,대전,쌀,111,20KG,53900,0
20220101,대전,쌀,111,20KG,54900,0
20220101,대전,배추,211,1,4000,0
20220101,대전,배추,211,1,3290,0
20220101,대전,배추,211,1,3000,0
20220101,대전,배추,211,1,2980,0
20220101,대전,갓,216,1KG,3660,0
20220101,대전,깻잎,253,100G,1930,0
20220101,대전,깻잎,253,100G,2480,0
20220101,대전,깻잎,253,100G,3560,0
20220101,대전,풋고추,242,100G,1000,0
20220101,대전,파프리카,256,200G,1000,0
20220101,대전,멜론,257,1,11000,0
20220101,대전,멜론,257,1,19800,0
20220101,대전,멜론,257,1,10900,0
20220101,대전,참다래,419,10,7590,0
20220101,대전,참다래,419,10,7250,0
20220101,대전,참다래,419,10,7990,0
20220101,대전,물오징어,619,1,6880,0
20220101,대전,물오징어,619,1,5900,0
20220101,대전,수박,221,1,24500,0
20220101,대전,수박,221,1,19900,0
20220101,대전,호박,224,1,1500,0
20220101,대전,호박,224,1,1780,0
20220101,대전,찹쌀,112,1KG,4560,0
20220101,대전,찹쌀,112,1KG,6980,0
20220101,대전,찹쌀,112,1KG,3480,0
20220101,대전,생강,247,1KG,5660,0
20220101,대전,고춧가루,248,1KG,30700,0
20220101,대전,고춧가루,248,1KG,27960,0
20220101,대전,고춧가루,248,1KG,29800,0
20220101,대전,배,412,10,35800,0
20220101,대전,배,412,10,27800,0
20220101,대전,쇠고기,512,100G,10200,0
20220101,대전,쇠고기,512,100G,16880,0
20220101,대전,쇠고기,512,100G,16000,0
20220101,대전,바나나,418,100G,230,0
20220101,대전,바나나,418,100G,310,0
20220101,대전,고등어,611,1,3550,0
20220101,대전,고등어,611,1,2490,0
20220101,대전,고등어,611,1,3980,0
20220101,대전,붉은고추,243,100G,1720,0
20220101,대전,붉은고추,243,100G,1660,0
20220101,대전,땅콩,314,100G,2250,0
20220101,대전,땅콩,314,100G,3330,0
20220101,대전,땅콩,314,100G,3160,0
20220101,대전,양파,245,1KG,1330,0
20220101,대전,느타리버섯,315,100G,810,0
20220101,대전,느타리버섯,315,100G,660,0
20220101,대전,수박,221,1,20500,0
20220101,대전,수박,221,1,17900,0
20220101,대전,오이,223,10,14950,0
20220101,대전,오이,223,10,9000,0
20220101,대전,콩,141,500G,9390,0
20220101,대전,양배추,212,1,3500,0
20220101,대전,토마토,225,1KG,5750,0
20220101,대전,토마토,225,1KG,7420,0
20220101,대전,토마토,225,1KG,8990,0
20220101,대전,아몬드,319,100G,1570,0
20220101,대전,아몬드,319,100G,1710,0
20220101,대전,아몬드,319,100G,1280,0
20220101,대전,쇠고기,512,100G,5800,0
20220101,대전,풋고추,242,100G,1050,0
20220101,대전,풋고추,242,100G,990,0
20220101,대전,피망,255,100G,1390,0
20220101,대전,풋고추,242,100G,810,0
20220101,대전,풋고추,242,100G,1050,0
20220101,대전,풋고추,242,100G,830,0
20220101,대전,참깨,312,500G,16100,0
20220101,대전,파인애플,420,1,6000,0
20220101,대전,파인애플,420,1,5980,0
20220101,대전,파인애플,420,1,5000,0
20220101,대전,건멸치,638,100G,1830,0
20220101,대전,건멸치,638,100G,3330,0
20220101,대전,건멸치,638,100G,1630,0
20220101,대전,레몬,424,10,8620,0
20220101,대전,레몬,424,10,9800,0
20220101,대전,레몬,424,10,9900,0
20220101,대전,레몬,424,10,7120,0
20220101,대전,레몬,424,10,8160,0
20220101,대전,파,246,1KG,1830,0
20220101,대전,파,246,1KG,6330,0
20220101,대전,파,246,1KG,9960,0
20220101,대전,팽이버섯,316,100G,460,0
20220101,대전,콩,141,500G,3650,0
20220101,대전,오이,223,10,11960,0
20220101,대전,오이,223,10,13900,0
20220101,대전,오이,223,10,7160,0
20220101,대전,콩,141,500G,4330,0
20220101,대전,콩,141,500G,4980,0
20220101,대전,양배추,212,1,3000,0
20220101,대전,양배추,212,1,2980,0
20220101,대전,양배추,212,1,2990,0
20220101,대전,고춧가루,248,1KG,13300,0
20220101,대전,고춧가루,248,1KG,12800,0
20220101,대전,고춧가루,248,1KG,14000,0
20220101,대전,배,412,10,26200,0
20220101,대전,배,412,10,39750,0
20220101,대전,쇠고기,512,100G,4980,0
20220101,대전,쇠고기,512,100G,3180,0
20220101,대전,쇠고기,512,100G,3480,0
20220101,대전,바나나,418,100G,200,0
20220101,대전,갈치,613,1,3980,0
20220101,대전,명태,615,1,2330,0
20220101,대전,양파,245,1KG,1830,0
20220101,대전,양파,245,1KG,2210,0
20220101,대전,양파,245,1KG,2330,0
20220101,대전,땅콩,314,100G,1000,0
20220101,대전,땅콩,314,100G,1070,0
20220101,대전,파,246,1KG,2330,0
20220101,대전,파,246,1KG,2920,0
20220101,대전,파,246,1KG,3110,0
20220101,대전,팽이버섯,316,100G,560,0
20220101,대전,팽이버섯,316,100G,560,0
20220101,대전,팽이버섯,316,100G,590,0
20220101,대전,건블루베리,427,100G,3090,0
20220101,대전,건블루베리,427,100G,3330,0
20220101,대전,망고,428,1,5330,0
20220101,대전,망고,428,1,5990,0
20220101,대전,망고,428,1,6490,0
20220101,대전,팥(적두),142,500G,7500,0
20220101,대전,팥(적두),142,500G,7980,0
20220101,대전,팥(적두),142,500G,12900,0
20220101,대전,오이,223,10,9950,0
20220101,대전,시금치,213,1KG,4060,0
20220101,대전,시금치,213,1KG,5960,0
20220101,대전,사과,411,10,23700,0
20220101,대전,쇠고기,512,100G,10200,0
20220101,대전,쇠고기,512,100G,11880,0
20220101,대전,쇠고기,512,100G,11800,0
20220101,대전,풋고추,242,100G,1250,0
20220101,대전,풋고추,242,100G,1650,0
20220101,대전,풋고추,242,100G,1660,0
20220101,대전,파프리카,256,200G,1500,0
20220101,대전,파프리카,256,200G,1660,0
20220101,대전,파프리카,256,200G,1590,0
20220101,대전,풋고추,242,100G,560,0
20220101,대전,참깨,312,500G,5720,0
20220101,대전,참깨,312,500G,3360,0
20220101,대전,건포도,426,100G,650,0
20220101,대전,건포도,426,100G,1260,0
20220101,대전,건포도,426,100G,1150,0
20220101,대전,파,246,1KG,5330,0
