조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,충북청주,열무,233,1.5KG,3000,0
20130101,충북청주,얼갈이배추,215,1.5KG,3500,0
20130101,충북청주,쇠고기,512,100G,1400,0
20130101,충북청주,얼갈이배추,215,1.5KG,2500,0
20130101,충북청주,열무,233,1.5KG,4000,0
20130101,충북청주,쇠고기,512,100G,1600,0
20130101,충북청주,쇠고기,512,100G,2800,0
20130101,충북청주,포도,414,1KG,8000,0
20130101,충북청주,감귤,415,10,2500,0
20130101,충북청주,감귤,415,10,2000,0
20130101,충북청주,단감,416,10,9000,0
20130101,충북청주,단감,416,10,7000,0
20130101,충북청주,바나나,418,100G,230,0
20130101,충북청주,바나나,418,100G,200,0
20130101,충북청주,방울토마토,422,1KG,8000,0
20130101,충북청주,방울토마토,422,1KG,7000,0
20130101,충북청주,생강,247,1KG,6500,0
20130101,충북청주,미나리,252,1KG,6000,0
20130101,충북청주,미나리,252,1KG,5000,0
20130101,충북청주,깻잎,253,200G,3500,0
20130101,충북청주,깻잎,253,200G,3000,0
20130101,충북청주,피망(청),255,100G,1000,0
20130101,충북청주,피망(청),255,100G,800,0
20130101,충북청주,참깨,312,500G,11800,0
20130101,충북청주,참깨,312,500G,3720,0
20130101,충북청주,쌀,111,20KG,47300,0
20130101,충북청주,찹쌀,112,1KG,3660,0
20130101,충북청주,콩,141,1KG,7230,0
20130101,충북청주,콩,141,1KG,5600,0
20130101,충북청주,팥(적두),142,1KG,12800,0
20130101,충북청주,고구마,151,1KG,5000,0
20130101,충북청주,고구마,151,1KG,4000,0
20130101,충북청주,감자,152,1KG,3000,0
20130101,충북청주,감자,152,1KG,2500,0
20130101,충북청주,배추,211,1,4000,0
20130101,충북청주,배추,211,1,3000,0
20130101,충북청주,양배추,212,1,4500,0
20130101,충북청주,양배추,212,1,3830,0
20130101,충북청주,시금치,213,1KG,5500,0
20130101,충북청주,시금치,213,1KG,4500,0
20130101,충북청주,상추,214,100G,1000,0
20130101,충북청주,상추,214,100G,750,0
20130101,충북청주,상추,214,100G,1000,0
20130101,충북청주,상추,214,100G,750,0
20130101,충북청주,수박,221,1,20000,0
20130101,충북청주,수박,221,1,18000,0
20130101,충북청주,오이,223,10,10000,0
20130101,충북청주,오이,223,10,10000,0
20130101,충북청주,오이,223,10,7000,0
20130101,충북청주,오이,223,10,10000,0
20130101,충북청주,호박,224,1,2000,0
20130101,충북청주,호박,224,1,1500,0
20130101,충북청주,호박,224,1,1800,0
20130101,충북청주,호박,224,1,1200,0
20130101,충북청주,토마토,225,1KG,5500,0
20130101,충북청주,토마토,225,1KG,4500,0
20130101,충북청주,무,231,1,2160,0
20130101,충북청주,무,231,1,1500,0
20130101,충북청주,당근,232,1KG,4500,0
20130101,충북청주,당근,232,1KG,3500,0
20130101,충북청주,건고추,241,600G,12600,0
20130101,충북청주,건고추,241,600G,11600,0
20130101,충북청주,건고추,241,600G,15300,0
20130101,충북청주,건고추,241,600G,14300,0
20130101,충북청주,풋고추,242,100G,1250,0
20130101,충북청주,풋고추,242,100G,1000,0
20130101,충북청주,풋고추,242,100G,1250,0
20130101,충북청주,풋고추,242,100G,1000,0
20130101,충북청주,풋고추,242,100G,1250,0
20130101,충북청주,풋고추,242,100G,1000,0
20130101,충북청주,붉은고추,243,100G,1250,0
20130101,충북청주,붉은고추,243,100G,1000,0
20130101,충북청주,마늘,244,1KG,7000,0
20130101,충북청주,마늘,244,1KG,6000,0
20130101,충북청주,양파,245,1KG,1870,0
20130101,충북청주,양파,245,1KG,1400,0
20130101,충북청주,파,246,1KG,3000,0
20130101,충북청주,파,246,1KG,2500,0
20130101,충북청주,파,246,1KG,6500,0
20130101,충북청주,파,246,1KG,5500,0
20130101,충북청주,생강,247,1KG,7500,0
20130101,충북청주,땅콩,314,100G,650,0
20130101,충북청주,느타리버섯,315,100G,750,0
20130101,충북청주,느타리버섯,315,100G,530,0
20130101,충북청주,팽이버섯,316,100G,330,0
20130101,충북청주,사과,411,10,28300,0
20130101,충북청주,사과,411,10,21600,0
20130101,충북청주,배,412,10,40000,0
20130101,충북청주,배,412,10,31600,0
20130101,충북청주,우유,535,1L,2380,0
20130101,충북청주,고등어,611,1,2500,0
20130101,충북청주,명태,615,1,2830,0
20130101,충북청주,물오징어,619,1,2160,0
20130101,충북청주,물오징어,619,1,2500,0
20130101,충북청주,건멸치,638,100G,2000,0
20130101,충북청주,쇠고기,512,100G,4160,0
20130101,충북청주,쇠고기,512,100G,5960,0
20130101,충북청주,쇠고기,512,100G,2000,0
20130101,청주,열무,233,1.5KG,5280,0
20130101,청주,쇠고기,512,100G,5780,0
20130101,청주,건멸치,638,100G,1530,0
20130101,청주,쇠고기,512,100G,2950,0
20130101,청주,얼갈이배추,215,1.5KG,3720,0
20130101,청주,물오징어,619,1,2400,0
20130101,청주,고등어,611,1,3000,0
20130101,청주,느타리버섯,315,100G,658,0
20130101,청주,팽이버섯,316,100G,450,0
20130101,청주,사과,411,10,29600,0
20130101,청주,사과,411,10,19800,0
20130101,청주,배,412,10,42600,0
