조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20220101,제주,녹두,143,500G,7610,0
20220101,제주,당근,232,1KG,3160,0
20220101,제주,당근,232,1KG,2980,0
20220101,제주,고구마(밤),151,1KG,5000,0
20220101,제주,고구마(밤),151,1KG,5990,0
20220101,제주,딸기,226,100G,3000,0
20220101,제주,딸기,226,100G,2580,0
20220101,제주,건고추,241,600G,18300,0
20220101,제주,무,231,1,1660,0
20220101,제주,무,231,1,1480,0
20220101,제주,상추,214,100G,660,0
20220101,제주,상추,214,100G,890,0
20220101,제주,미나리,252,1KG,1330,0
20220101,제주,호박,224,1,2000,0
20220101,제주,호박,224,1,2180,0
20220101,제주,상추,214,100G,600,0
20220101,제주,상추,214,100G,1280,0
20220101,제주,단감,416,10,15600,0
20220101,제주,단감,416,10,13960,0
20220101,제주,쇠고기,512,100G,3380,0
20220101,제주,우유,535,1L,2710,0
20220101,제주,쌀,111,20KG,60000,0
20220101,제주,쌀,111,20KG,53900,0
20220101,제주,감자,152,100G,350,0
20220101,제주,배추,211,1,7550,0
20220101,제주,얼갈이배추,215,1KG,2000,0
20220101,제주,얼갈이배추,215,1KG,2600,0
20220101,제주,깻잎,253,100G,1430,0
20220101,제주,깻잎,253,100G,4600,0
20220101,제주,풋고추,242,100G,730,0
20220101,제주,풋고추,242,100G,1650,0
20220101,제주,참다래,419,10,6650,0
20220101,제주,호박,224,1,2000,0
20220101,제주,호박,224,1,1780,0
20220101,제주,배,412,10,36600,0
20220101,제주,바나나,418,100G,300,0
20220101,제주,바나나,418,100G,280,0
20220101,제주,고등어,611,1,2480,0
20220101,제주,붉은고추,243,100G,1000,0
20220101,제주,붉은고추,243,100G,1720,0
20220101,제주,양파,245,1KG,2000,0
20220101,제주,양파,245,1KG,2210,0
20220101,제주,땅콩,314,100G,670,0
20220101,제주,느타리버섯,315,100G,1400,0
20220101,제주,느타리버섯,315,100G,1490,0
20220101,제주,수박,221,1,24300,0
20220101,제주,수박,221,1,19900,0
20220101,제주,오이,223,10,11600,0
20220101,제주,오이,223,10,17800,0
20220101,제주,배추,211,1,2980,0
20220101,제주,양배추,212,1,3000,0
20220101,제주,호두,318,100G,1530,0
20220101,제주,호두,318,100G,1660,0
20220101,제주,건고추,241,600G,18000,0
20220101,제주,풋고추,242,100G,700,0
20220101,제주,피망,255,100G,800,0
20220101,제주,피망,255,100G,1390,0
20220101,제주,멜론,257,1,10000,0
20220101,제주,멜론,257,1,19800,0
20220101,제주,파인애플,420,1,6660,0
20220101,제주,파인애플,420,1,5980,0
20220101,제주,레몬,424,10,10000,0
20220101,제주,레몬,424,10,9800,0
20220101,제주,파,246,1KG,3000,0
20220101,제주,파,246,1KG,3100,0
20220101,제주,팽이버섯,316,100G,500,0
20220101,제주,팽이버섯,316,100G,470,0
20220101,제주,콩,141,500G,4510,0
20220101,제주,콩,141,500G,3630,0
20220101,제주,오이,223,10,10000,0
20220101,제주,오이,223,10,11960,0
20220101,제주,찹쌀,112,1KG,4160,0
20220101,제주,찹쌀,112,1KG,6980,0
20220101,제주,고춧가루,248,1KG,34900,0
20220101,제주,고춧가루,248,1KG,38400,0
20220101,제주,고춧가루,248,1KG,12400,0
20220101,제주,고춧가루,248,1KG,11800,0
20220101,제주,배,412,10,27800,0
20220101,제주,참깨,312,500G,16200,0
20220101,제주,땅콩,314,100G,3330,0
20220101,제주,건포도,426,100G,640,0
20220101,제주,건포도,426,100G,1260,0
20220101,제주,건블루베리,427,100G,3090,0
20220101,제주,망고,428,1,5490,0
20220101,제주,오이,223,10,11450,0
