조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,강원춘천,쇠고기,512,100G,1400,0
20130101,강원춘천,물오징어,619,1,2500,0
20130101,강원춘천,풋고추,242,100G,1040,0
20130101,강원춘천,풋고추,242,100G,1160,0
20130101,강원춘천,풋고추,242,100G,1040,0
20130101,강원춘천,붉은고추,243,100G,1250,0
20130101,강원춘천,붉은고추,243,100G,1000,0
20130101,강원춘천,마늘,244,1KG,7500,0
20130101,강원춘천,마늘,244,1KG,6600,0
20130101,강원춘천,양파,245,1KG,1500,0
20130101,강원춘천,양파,245,1KG,1330,0
20130101,강원춘천,오이,223,10,8000,0
20130101,강원춘천,오이,223,10,7000,0
20130101,강원춘천,오이,223,10,10000,0
20130101,강원춘천,오이,223,10,8000,0
20130101,강원춘천,호박,224,1,2000,0
20130101,강원춘천,호박,224,1,1500,0
20130101,강원춘천,호박,224,1,1900,0
20130101,강원춘천,호박,224,1,1400,0
20130101,강원춘천,무,231,1,2500,0
20130101,강원춘천,콩,141,1KG,6400,0
20130101,강원춘천,팥(적두),142,1KG,12500,0
20130101,강원춘천,팥(적두),142,1KG,10000,0
20130101,강원춘천,녹두,143,1KG,14200,0
20130101,강원춘천,녹두,143,1KG,12000,0
20130101,강원춘천,고구마,151,1KG,5330,0
20130101,강원춘천,고구마,151,1KG,4330,0
20130101,강원춘천,감자,152,1KG,2330,0
20130101,강원춘천,감자,152,1KG,1830,0
20130101,강원춘천,쌀,111,20KG,48000,0
20130101,강원춘천,찹쌀,112,1KG,3340,0
20130101,강원춘천,콩,141,1KG,7200,0
20130101,강원춘천,배추,211,1,4000,0
20130101,강원춘천,배추,211,1,3500,0
20130101,강원춘천,양배추,212,1,5500,0
20130101,강원춘천,양배추,212,1,5000,0
20130101,강원춘천,시금치,213,1KG,5330,0
20130101,강원춘천,시금치,213,1KG,4660,0
20130101,강원춘천,상추,214,100G,1080,0
20130101,강원춘천,상추,214,100G,910,0
20130101,강원춘천,무,231,1,2000,0
20130101,강원춘천,당근,232,1KG,4000,0
20130101,강원춘천,당근,232,1KG,3500,0
20130101,강원춘천,건고추,241,600G,15000,0
20130101,강원춘천,건고추,241,600G,14000,0
20130101,강원춘천,풋고추,242,100G,1160,0
20130101,강원춘천,풋고추,242,100G,1040,0
20130101,강원춘천,풋고추,242,100G,1160,0
20130101,강원춘천,파,246,1KG,3000,0
20130101,강원춘천,파,246,1KG,2500,0
20130101,강원춘천,파,246,1KG,8000,0
20130101,강원춘천,파,246,1KG,7000,0
20130101,강원춘천,생강,247,1KG,8750,0
20130101,강원춘천,생강,247,1KG,7500,0
20130101,강원춘천,미나리,252,1KG,6000,0
20130101,강원춘천,포도,414,1KG,6500,0
20130101,강원춘천,감귤,415,10,2500,0
20130101,강원춘천,감귤,415,10,2000,0
20130101,강원춘천,단감,416,10,10000,0
20130101,강원춘천,단감,416,10,8000,0
20130101,강원춘천,바나나,418,100G,200,0
20130101,강원춘천,바나나,418,100G,180,0
20130101,강원춘천,우유,535,1L,2400,0
20130101,강원춘천,명태,615,1,1500,0
20130101,강원춘천,미나리,252,1KG,5500,0
20130101,강원춘천,깻잎,253,200G,4500,0
20130101,강원춘천,깻잎,253,200G,4000,0
20130101,강원춘천,피망(청),255,100G,800,0
20130101,강원춘천,피망(청),255,100G,700,0
20130101,강원춘천,참깨,312,500G,12500,0
20130101,강원춘천,참깨,312,500G,10800,0
20130101,강원춘천,참깨,312,500G,4000,0
20130101,강원춘천,땅콩,314,100G,560,0
20130101,강원춘천,느타리버섯,315,100G,1000,0
20130101,강원춘천,느타리버섯,315,100G,870,0
20130101,강원춘천,팽이버섯,316,100G,400,0
20130101,강원춘천,팽이버섯,316,100G,290,0
20130101,강원춘천,사과,411,10,20000,0
20130101,강원춘천,사과,411,10,15000,0
20130101,강원춘천,배,412,10,40000,0
20130101,강원춘천,배,412,10,35000,0
20130101,강원춘천,물오징어,619,1,2330,0
20130101,강원춘천,쇠고기,512,100G,1500,0
20130101,강원춘천,쇠고기,512,100G,6000,0
20130101,강원춘천,쇠고기,512,100G,3660,0
20130101,강원춘천,건멸치,638,100G,2700,0
20130101,강원춘천,쇠고기,512,100G,2810,0
20130101,강원,쇠고기,512,100G,1400,0
20130101,강원,방울토마토,422,1KG,10500,0
20130101,강원,쌀,111,20KG,46800,0
20130101,강원,찹쌀,112,1KG,5800,0
20130101,강원,콩,141,1KG,10600,0
20130101,강원,팥(적두),142,1KG,29600,0
20130101,강원,고구마,151,1KG,6000,0
20130101,강원,감자,152,1KG,5700,0
20130101,강원,배추,211,1,3500,0
20130101,강원,양배추,212,1,4900,0
20130101,강원,오이,223,10,15000,0
20130101,강원,오이,223,10,15000,0
20130101,강원,호박,224,1,2500,0
20130101,강원,호박,224,1,2400,0
20130101,강원,당근,232,1KG,5700,0
20130101,강원,풋고추,242,100G,1920,0
20130101,강원,풋고추,242,100G,1600,0
20130101,강원,풋고추,242,100G,1900,0
20130101,강원,붉은고추,243,100G,1800,0
20130101,강원,마늘,244,1KG,6800,0
20130101,강원,양파,245,1KG,2870,0
20130101,강원,파,246,1KG,3120,0
20130101,강원,생강,247,1KG,9800,0
20130101,강원,미나리,252,1KG,12500,0
20130101,강원,깻잎,253,200G,5800,0
20130101,강원,피망(청),255,100G,1400,0
20130101,강원,땅콩,314,100G,2600,0
20130101,강원,느타리버섯,315,100G,630,0
20130101,강원,팽이버섯,316,100G,400,0
20130101,강원,사과,411,10,15800,0
20130101,강원,배,412,10,33750,0
20130101,강원,포도,414,1KG,10400,0
20130101,강원,감귤,415,10,2530,0
20130101,강원,단감,416,10,5000,0
20130101,강원,바나나,418,100G,290,0
20130101,강원,바나나,418,100G,210,0
20130101,강원,우유,535,1L,2300,0
20130101,강원,쇠고기,512,100G,1900,0
20130101,강원,쇠고기,512,100G,2900,0
20130101,강원,쇠고기,512,100G,6500,0
20130101,강원,건멸치,638,100G,3470,0
20130102,강원춘천,쇠고기,512,100G,1400,1400
20130102,강원춘천,쇠고기,512,100G,6000,6000
